order_id,product_id,origin_warehouse,destination_city,order_date,ship_mode,carrier,weight_kg,distance_km,expected_delay_days
100159,P096,Rouen,Toulouse,2024-08-30,Standard,DHL,2.13,243,2
100160,P052,Nantes,Lyon,2024-08-25,Express,GLS,3.4,803,3
100161,P096,Nantes,Marseille,2025-02-04,Express,UPS,5.98,204,2
100162,P004,Lille,Marseille,2025-01-22,Express,DHL,3.32,758,2
100163,P094,Rouen,Lyon,2025-04-30,Express,GLS,12.9,245,2
100164,P023,Paris,Paris,2024-10-31,Standard,GLS,5.54,995,5
100165,P015,Lyon,Paris,2025-04-04,Standard,GLS,0.48,947,4
100166,P043,Lille,Nice,2025-05-31,Standard,Chronopost,16.75,513,4
100167,P029,Lille,Bordeaux,2024-10-06,Express,DHL,14.83,448,3
100168,P036,Paris,Bordeaux,2024-12-31,Express,GLS,0.56,721,2
100169,P013,Lyon,Toulouse,2024-10-03,Express,Chronopost,17.07,806,4
100170,P032,Lyon,Nice,2024-12-22,Express,GLS,2.81,477,1
100171,P071,Paris,Lyon,2024-10-10,Standard,Colissimo,5.58,252,2
100172,P059,Lille,Nice,2025-02-19,Standard,Chronopost,7.7,704,4
100173,P086,Paris,Nice,2024-08-03,Express,Chronopost,16.87,344,2
100174,P028,Nantes,Marseille,2025-01-10,Express,DHL,1.97,883,3
100175,P066,Paris,Paris,2025-03-26,Standard,Chronopost,5.93,641,3
100176,P042,Rouen,Paris,2024-08-04,Express,GLS,19.55,436,3
100177,P045,Lille,Nice,2024-12-15,Express,DHL,0.83,788,3
100178,P062,Strasbourg,Bordeaux,2024-07-06,Standard,UPS,19.48,710,6
100179,P057,Strasbourg,Bordeaux,2024-08-07,Express,Chronopost,9.1,672,3
100180,P006,Rouen,Marseille,2025-06-15,Standard,Colissimo,11.17,56,2
100181,P028,Lille,Bordeaux,2025-06-06,Express,GLS,18.77,219,2
100182,P028,Lille,Toulouse,2024-10-10,Standard,DHL,3.97,631,3
100183,P044,Nantes,Lyon,2025-06-07,Express,Chronopost,5.62,65,0
100184,P084,Paris,Marseille,2024-10-22,Standard,UPS,18.68,278,4
100185,P030,Strasbourg,Nice,2024-09-22,Express,UPS,3.79,868,3
100186,P062,Paris,Toulouse,2024-07-28,Express,Colissimo,11.83,714,4
100187,P075,Strasbourg,Bordeaux,2025-03-29,Standard,Chronopost,3.18,998,5
100188,P092,Strasbourg,Lyon,2024-08-15,Express,DHL,4.83,977,4
100189,P089,Strasbourg,Paris,2024-09-21,Express,UPS,19.81,85,2
100190,P062,Nantes,Paris,2025-02-12,Standard,DHL,10.42,918,4
100191,P097,Nantes,Paris,2025-06-05,Express,UPS,12.85,193,2
100192,P001,Lyon,Bordeaux,2025-06-11,Express,GLS,17.37,540,3
100193,P027,Rouen,Nice,2025-01-21,Standard,DHL,18.72,814,5
100194,P062,Lille,Nice,2025-03-05,Express,Colissimo,4.69,249,2
100195,P077,Lyon,Bordeaux,2024-10-14,Standard,Chronopost,6.7,50,2
100196,P003,Paris,Nice,2025-05-02,Standard,Colissimo,4.56,336,3
100197,P070,Lyon,Toulouse,2025-02-01,Express,Colissimo,13.27,76,1
100198,P072,Paris,Toulouse,2024-08-30,Express,GLS,3.92,261,1
100199,P027,Nantes,Marseille,2024-07-19,Standard,Colissimo,15.59,357,4
100200,P009,Lille,Bordeaux,2024-08-09,Standard,DHL,8.81,293,3
100201,P062,Lille,Nice,2025-03-10,Express,GLS,3.33,257,2
100202,P037,Lille,Paris,2024-09-09,Standard,Chronopost,10.7,465,4
100203,P097,Strasbourg,Paris,2024-12-14,Standard,Chronopost,3.67,369,3
100204,P051,Strasbourg,Lyon,2024-08-05,Standard,Chronopost,13.38,848,6
100205,P044,Nantes,Nice,2025-06-08,Express,Chronopost,18.03,613,4
100206,P024,Paris,Nice,2025-01-30,Standard,UPS,5.48,508,4
100207,P079,Nantes,Toulouse,2025-03-28,Standard,Colissimo,16.44,953,6
100208,P059,Lille,Bordeaux,2024-06-19,Standard,UPS,17.17,684,5
100209,P032,Lille,Marseille,2024-11-28,Standard,UPS,3.4,477,3
100210,P096,Lille,Marseille,2024-10-20,Standard,Chronopost,11.05,85,2
100211,P088,Paris,Paris,2025-02-04,Standard,UPS,5.36,493,3
100212,P052,Paris,Toulouse,2025-03-13,Standard,Colissimo,13.57,580,5
100213,P062,Lyon,Lyon,2025-01-18,Express,UPS,17.51,697,3
100214,P058,Lyon,Paris,2025-05-08,Express,DHL,13.27,421,4
100215,P052,Rouen,Toulouse,2024-08-29,Express,GLS,16.16,744,5
100216,P012,Paris,Marseille,2024-12-25,Standard,Chronopost,3.21,881,4
100217,P039,Nantes,Paris,2025-02-25,Standard,GLS,13.53,302,4
100218,P002,Paris,Bordeaux,2024-10-23,Express,GLS,9.69,862,4
100219,P003,Lyon,Lyon,2024-10-01,Express,Colissimo,7.93,402,1
100220,P056,Strasbourg,Nice,2024-08-26,Standard,Chronopost,2.84,610,3
100221,P081,Lille,Bordeaux,2025-01-25,Standard,Colissimo,18.47,125,3
100222,P059,Lyon,Toulouse,2024-09-12,Standard,UPS,18.95,388,5
100223,P002,Lyon,Toulouse,2025-04-10,Standard,DHL,15.65,374,4
100224,P002,Strasbourg,Marseille,2025-03-12,Express,UPS,9.45,202,2
100225,P092,Lyon,Toulouse,2024-10-27,Standard,DHL,12.18,251,4
100226,P054,Rouen,Toulouse,2024-11-03,Express,UPS,14.91,790,5
100227,P087,Rouen,Toulouse,2024-12-23,Standard,DHL,16.56,695,5
100228,P096,Rouen,Marseille,2025-02-23,Standard,Chronopost,17.36,213,4
100229,P097,Nantes,Toulouse,2025-05-19,Standard,Chronopost,5.25,657,3
100230,P001,Rouen,Lyon,2025-01-16,Express,Chronopost,1.5,75,1
100231,P019,Nantes,Toulouse,2025-04-11,Standard,GLS,19.6,539,5
100232,P002,Paris,Toulouse,2024-08-03,Standard,UPS,9.42,357,4
100233,P053,Paris,Toulouse,2024-12-01,Standard,GLS,14.32,91,3
100234,P044,Rouen,Marseille,2025-03-24,Express,UPS,3.74,368,1
100235,P090,Paris,Paris,2024-07-09,Express,Chronopost,7.93,624,2
100236,P032,Paris,Marseille,2024-08-18,Express,GLS,9.17,698,3
100237,P070,Lille,Toulouse,2025-05-28,Standard,GLS,16.12,633,5
100238,P032,Rouen,Lyon,2025-05-23,Standard,UPS,16.32,646,5
100239,P068,Rouen,Lyon,2025-03-28,Standard,Colissimo,16.01,903,6
100240,P055,Lyon,Lyon,2025-04-20,Express,UPS,17.0,992,5
100241,P075,Lyon,Marseille,2025-04-21,Standard,UPS,4.04,562,3
100242,P056,Paris,Toulouse,2024-11-03,Standard,Chronopost,12.54,651,5
100243,P017,Lyon,Lyon,2025-01-25,Express,UPS,19.95,127,2
100244,P038,Lille,Toulouse,2025-04-23,Express,Chronopost,5.47,760,3
100245,P024,Rouen,Lyon,2025-05-29,Standard,GLS,6.05,296,2
100246,P069,Lille,Toulouse,2025-04-24,Express,UPS,14.9,89,2
100247,P098,Rouen,Toulouse,2024-09-07,Express,DHL,15.91,643,2
100248,P070,Nantes,Paris,2025-05-07,Standard,UPS,9.91,523,4
100249,P086,Strasbourg,Paris,2024-12-23,Standard,Chronopost,9.18,233,3
100250,P011,Rouen,Nice,2024-12-09,Standard,GLS,16.98,357,4
100251,P016,Strasbourg,Bordeaux,2024-06-19,Standard,UPS,9.11,668,5
100252,P097,Strasbourg,Marseille,2024-10-31,Standard,GLS,16.74,74,2
100253,P073,Lille,Paris,2025-01-20,Express,UPS,10.09,126,1
100254,P059,Paris,Nice,2025-01-10,Standard,GLS,13.6,561,5
100255,P070,Lyon,Bordeaux,2025-04-21,Standard,GLS,2.19,795,5
100256,P080,Lyon,Marseille,2025-01-08,Express,UPS,11.28,238,2
100257,P093,Lille,Bordeaux,2025-06-16,Express,Chronopost,10.82,916,4
100258,P003,Lyon,Bordeaux,2024-10-14,Express,Colissimo,19.07,468,3
100259,P020,Paris,Marseille,2025-01-14,Express,GLS,18.35,73,2
100260,P059,Lyon,Lyon,2025-05-29,Standard,DHL,8.44,662,5
100261,P036,Nantes,Lyon,2025-05-30,Express,GLS,6.59,101,1
100262,P019,Rouen,Bordeaux,2024-10-28,Standard,UPS,1.17,772,4
100263,P090,Nantes,Nice,2024-07-14,Express,DHL,4.6,911,3
100264,P067,Rouen,Toulouse,2024-08-08,Express,Colissimo,15.83,805,4
100265,P019,Nantes,Nice,2024-07-23,Standard,Colissimo,19.71,509,4
100266,P020,Lyon,Nice,2024-07-10,Express,Chronopost,18.14,59,1
100267,P096,Lyon,Toulouse,2025-04-25,Standard,GLS,10.71,721,4
100268,P071,Paris,Bordeaux,2025-05-08,Express,UPS,3.41,906,4
100269,P052,Nantes,Paris,2024-10-18,Express,GLS,11.54,114,1
100270,P033,Rouen,Paris,2024-10-23,Express,Colissimo,9.32,788,4
100271,P040,Strasbourg,Toulouse,2024-12-30,Standard,DHL,7.61,481,3
100272,P039,Rouen,Paris,2024-09-21,Express,Chronopost,13.48,556,3
100273,P082,Lyon,Bordeaux,2024-08-22,Standard,DHL,15.02,635,4
100274,P001,Lyon,Paris,2025-01-02,Express,UPS,17.56,458,3
100275,P011,Lyon,Toulouse,2024-08-04,Standard,Colissimo,4.42,519,2
100276,P092,Strasbourg,Nice,2024-12-17,Express,DHL,19.63,929,6
100277,P057,Nantes,Lyon,2025-06-05,Express,GLS,9.83,88,1
100278,P089,Rouen,Toulouse,2025-06-17,Standard,UPS,11.63,124,3
100279,P050,Nantes,Nice,2024-09-25,Standard,Colissimo,19.51,598,5
100280,P023,Rouen,Lyon,2024-08-26,Standard,DHL,8.15,157,3
100281,P031,Rouen,Toulouse,2024-08-22,Standard,Colissimo,3.55,398,3
100282,P094,Paris,Paris,2024-08-05,Express,DHL,2.58,361,1
100283,P042,Lyon,Paris,2025-01-31,Standard,Colissimo,6.46,498,3
100284,P099,Nantes,Toulouse,2025-05-23,Standard,Chronopost,2.17,727,4
100285,P007,Nantes,Lyon,2025-03-17,Express,DHL,16.6,932,5
100286,P016,Lyon,Bordeaux,2024-08-22,Standard,GLS,9.4,758,5
100287,P090,Nantes,Paris,2024-10-19,Express,Chronopost,13.63,594,3
100288,P060,Paris,Nice,2025-03-23,Express,Colissimo,6.68,242,1
100289,P002,Nantes,Toulouse,2025-05-25,Express,GLS,7.85,52,1
100290,P001,Rouen,Bordeaux,2024-07-02,Express,Chronopost,7.43,797,3
100291,P048,Lyon,Toulouse,2024-06-27,Standard,GLS,18.1,484,4
100292,P012,Lyon,Paris,2024-07-03,Express,DHL,6.36,543,2
100293,P069,Paris,Marseille,2025-05-24,Standard,Chronopost,1.66,691,3
100294,P037,Strasbourg,Lyon,2024-07-09,Express,DHL,1.94,52,0
100295,P032,Nantes,Lyon,2025-05-02,Express,Colissimo,6.34,479,1
100296,P009,Rouen,Paris,2024-12-10,Standard,UPS,2.65,84,1
100297,P099,Lille,Lyon,2025-01-03,Standard,UPS,14.47,605,5
100298,P019,Rouen,Toulouse,2025-03-11,Standard,Colissimo,4.47,991,4
100299,P048,Rouen,Bordeaux,2024-10-02,Standard,UPS,16.38,52,3
100300,P080,Nantes,Nice,2024-12-25,Express,DHL,19.45,944,6
100301,P003,Lille,Nice,2025-03-09,Express,Chronopost,19.72,166,3
100302,P020,Paris,Bordeaux,2024-10-24,Standard,GLS,19.41,697,5
100303,P024,Nantes,Bordeaux,2024-06-20,Standard,UPS,3.54,176,2
100304,P054,Lyon,Toulouse,2024-09-19,Standard,DHL,15.5,600,4
100305,P033,Lille,Toulouse,2025-03-06,Express,Colissimo,10.43,558,3
100306,P024,Lyon,Marseille,2025-06-15,Standard,Chronopost,12.56,949,5
100307,P075,Lille,Lyon,2024-11-14,Express,UPS,11.62,740,3
100308,P072,Lyon,Bordeaux,2024-07-10,Express,GLS,17.39,394,3
100309,P036,Nantes,Paris,2025-05-02,Standard,GLS,2.28,996,5
100310,P038,Strasbourg,Toulouse,2025-01-08,Standard,DHL,1.13,453,4
100311,P084,Lille,Paris,2024-09-28,Express,GLS,10.18,423,2
100312,P099,Paris,Toulouse,2024-07-12,Standard,GLS,7.5,881,4
100313,P089,Nantes,Paris,2024-09-29,Standard,GLS,18.74,977,7
100314,P099,Lille,Lyon,2025-03-25,Express,UPS,3.37,811,3
100315,P025,Lyon,Bordeaux,2024-09-14,Standard,DHL,7.81,397,3
100316,P093,Rouen,Lyon,2024-12-18,Standard,Chronopost,13.21,320,4
100317,P018,Strasbourg,Paris,2024-11-05,Express,DHL,2.44,496,2
100318,P082,Lille,Toulouse,2024-08-25,Express,Chronopost,6.17,207,1
100319,P066,Strasbourg,Toulouse,2024-10-08,Standard,GLS,16.56,759,6
100320,P054,Nantes,Paris,2024-08-01,Express,UPS,1.24,673,2
100321,P035,Lyon,Toulouse,2025-04-06,Express,GLS,17.31,425,3
100322,P080,Nantes,Toulouse,2024-10-01,Standard,Colissimo,7.99,222,3
100323,P061,Lyon,Nice,2025-01-21,Express,Colissimo,4.28,636,3
100324,P041,Nantes,Nice,2025-02-17,Express,DHL,17.58,164,2
100325,P100,Lille,Bordeaux,2025-02-19,Express,UPS,10.77,759,3
100326,P033,Strasbourg,Bordeaux,2024-08-24,Express,GLS,5.91,152,1
100327,P068,Lille,Lyon,2025-02-14,Express,Colissimo,2.34,432,2
100328,P033,Strasbourg,Nice,2024-08-07,Express,Chronopost,5.04,490,1
100329,P014,Lille,Marseille,2024-11-05,Standard,GLS,3.22,235,3
100330,P021,Lyon,Nice,2024-07-04,Express,GLS,18.5,190,2
100331,P048,Paris,Toulouse,2025-01-11,Standard,GLS,4.88,381,3
100332,P020,Nantes,Nice,2024-09-06,Express,DHL,18.97,386,4
100333,P008,Paris,Marseille,2025-05-12,Standard,Colissimo,10.22,752,5
100334,P007,Paris,Toulouse,2024-08-11,Standard,DHL,19.09,915,6
100335,P067,Paris,Marseille,2025-05-09,Express,DHL,4.83,492,2
100336,P017,Rouen,Bordeaux,2025-05-24,Standard,UPS,12.21,964,5
100337,P033,Strasbourg,Paris,2024-09-17,Express,Colissimo,19.37,516,3
100338,P048,Strasbourg,Lyon,2025-06-08,Standard,Chronopost,19.69,726,4
100339,P076,Nantes,Nice,2024-07-14,Standard,UPS,6.15,648,4
100340,P059,Rouen,Lyon,2024-10-16,Express,UPS,6.85,882,4
100341,P086,Nantes,Bordeaux,2024-12-24,Standard,Colissimo,15.26,806,5
100342,P022,Rouen,Lyon,2025-02-24,Express,UPS,14.35,320,4
100343,P030,Nantes,Bordeaux,2024-09-01,Standard,DHL,6.85,384,3
100344,P038,Lille,Paris,2024-08-15,Standard,UPS,1.67,358,2
100345,P051,Paris,Lyon,2025-06-08,Express,GLS,7.5,942,4
100346,P054,Strasbourg,Toulouse,2024-08-16,Express,DHL,10.74,296,1
100347,P008,Lyon,Lyon,2024-11-30,Express,Colissimo,2.2,287,1
100348,P027,Paris,Marseille,2024-08-22,Standard,DHL,16.76,849,6
100349,P027,Strasbourg,Lyon,2025-04-21,Express,Chronopost,8.54,941,3
100350,P098,Strasbourg,Nice,2025-04-01,Standard,GLS,14.64,664,4
100351,P021,Nantes,Marseille,2025-04-23,Standard,UPS,0.59,809,4
